slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
node-real-mainnet-team-recent-state,,!offer:node-real-team-recent-state,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/reference/get-started-aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
node-real-testnet-business-recent-state,,!offer:node-real-business-recent-state,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/reference/get-started-aptos)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
node-real-testnet-free-recent-state,,!offer:node-real-free-recent-state,"[""[Website](https://nodereal.io/api-marketplace/aptos-node-api)"",""[Docs](https://docs.nodereal.io/reference/get-started-aptos)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
node-real-testnet-growth-recent-state,,!offer:node-real-growth-recent-state,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/reference/get-started-aptos)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
node-real-testnet-team-recent-state,,!offer:node-real-team-recent-state,"[""[Buy](https://nodereal.io/pricing)"",""[Docs](https://docs.nodereal.io/reference/get-started-aptos)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
nodit-mainnet-business-full-archive,,!offer:nodit-business-full-archive,"[""[Docs](https://developer.nodit.io/en/api/aptos/node-api/getaccount/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nodit-mainnet-business-indexer,Nodit,,"[""[Docs](https://developer.nodit.io/en/api/aptos/node-api/getaccount/)""]",Business,Tiered,Archive,Indexed Data,Custom,mainnet,"$250/mo (monthly plan),$189/mo (yearly plan)",$1/1M CUs,FALSE,FALSE,"[""Elastic Node"",""Web3 Data API"",""Stream"",""Webhook"",""Datasquare""]","[""1.6B CUs/mo"",""3K CU/s"",""10 projects"",""3 API Keys"",""5K reqs per 5 minutes""]","[""Allowlist Control"",""Unique API keys for Projects Authorization"",""Webhook v2 Security"",""On-Chain Data Protection""]","[""Statistical Dashboard"",""Real-time Node Monitoring"",""Real-time Node Monitoring"",""Real-time Node Monitoring""]","[""Global""]","[""Testnet Faucets""]",,,99.90%,NULL,,NULL,,NULL,
nodit-mainnet-business-recent-state,,!offer:nodit-business-recent-state,"[""[Docs](https://developer.nodit.io/en/api/aptos/node-api/getaccount/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nodit-mainnet-dedicated-full-archive,,!offer:nodit-dedicated-full-archive,"[""[Docs](https://developer.nodit.io/en/api/aptos/node-api/getaccount/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nodit-mainnet-dedicated-indexer,Nodit,,"[""[Docs](https://developer.nodit.io/en/api/aptos/node-api/getaccount/)""]",,Dedicated,Archive,Indexed Data,Custom,mainnet,Custom,Custom,FALSE,FALSE,"[""Elastic Node"",""Web3 Data API"",""Stream"",""Webhook"",""Datasquare""]","[""custom limits""]","[""Allowlist Control"",""Unique API keys for Projects Authorization"",""Webhook v2 Security"",""On-Chain Data Protection""]","[""Statistical Dashboard"",""Real-time Node Monitoring"",""Real-time Node Monitoring"",""Real-time Node Monitoring""]","[""Global""]","[""Testnet Faucets""]",,,99.90%,NULL,,NULL,,NULL,
nodit-mainnet-dedicated-recent-state,,!offer:nodit-dedicated-recent-state,"[""[Docs](https://developer.nodit.io/en/api/aptos/node-api/getaccount/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nodit-mainnet-developer-full-archive,,!offer:nodit-developer-full-archive,"[""[Docs](https://developer.nodit.io/en/api/aptos/node-api/getaccount/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nodit-mainnet-developer-indexer,Nodit,,"[""[Docs](https://developer.nodit.io/en/api/aptos/node-api/getaccount/)""]",Developer,Tiered,Archive,Indexed Data,Custom,mainnet,"$45/mo (monthly plan),$35/mo (yearly plan)",$1/1M CUs,FALSE,FALSE,"[""Elastic Node"",""Web3 Data API"",""Stream"",""Webhook"",""Datasquare""]","[""450M CUs/mo"",""600 CU/s"",""3 projects"",""3 API Keys"",""5K reqs per 5 minutes""]","[""Allowlist Control"",""Unique API keys for Projects Authorization"",""Webhook v2 Security"",""On-Chain Data Protection""]","[""Statistical Dashboard"",""Real-time Node Monitoring"",""Real-time Node Monitoring"",""Real-time Node Monitoring""]","[""Global""]","[""Testnet Faucets""]",,,99.90%,NULL,,NULL,,NULL,
